model_slug,benchmark_slug,metric,value,std,n_seeds,tier,run_by,source_title,source_url,table_ref,notes,date_added
sparcnet,tuab,balanced_accuracy,78.96,0.18,5,reported,reproduced_by_source_paper,"Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI (LaBraM)",https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
sparcnet,tuab,auc_pr,84.14,0.22,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
sparcnet,tuab,auroc,86.76,0.12,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
contrawr,tuab,balanced_accuracy,77.46,0.41,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
contrawr,tuab,auc_pr,84.21,0.09,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
contrawr,tuab,auroc,85.48,0.58,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
cnn-transformer,tuab,balanced_accuracy,77.77,0.22,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
cnn-transformer,tuab,auc_pr,85.37,0.30,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
cnn-transformer,tuab,auroc,86.28,0.27,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
ffcl,tuab,balanced_accuracy,78.48,0.38,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
ffcl,tuab,auc_pr,84.48,0.15,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
ffcl,tuab,auroc,86.21,0.66,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
st-transformer,tuab,balanced_accuracy,79.66,0.23,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
st-transformer,tuab,auc_pr,85.21,0.22,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
st-transformer,tuab,auroc,87.07,0.19,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
biot,tuab,balanced_accuracy,79.59,0.57,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
biot,tuab,auc_pr,87.92,0.32,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
biot,tuab,auroc,88.15,0.43,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-base,tuab,balanced_accuracy,81.40,0.19,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-base,tuab,auc_pr,89.65,0.39,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-base,tuab,auroc,90.22,0.09,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-large,tuab,balanced_accuracy,82.26,0.15,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-large,tuab,auc_pr,90.34,0.16,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-large,tuab,auroc,90.86,0.09,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-huge,tuab,balanced_accuracy,82.58,0.11,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-huge,tuab,auc_pr,90.90,0.19,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
labram-huge,tuab,auroc,91.62,0.16,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 1,SEED-待核对,2026-09-06
sparcnet,tuev,balanced_accuracy,41.61,2.62,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
sparcnet,tuev,cohen_kappa,42.33,1.81,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
sparcnet,tuev,weighted_f1,70.24,1.04,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
contrawr,tuev,balanced_accuracy,43.84,3.49,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
contrawr,tuev,cohen_kappa,39.12,2.37,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
contrawr,tuev,weighted_f1,68.93,1.36,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
cnn-transformer,tuev,balanced_accuracy,40.87,1.61,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
cnn-transformer,tuev,cohen_kappa,38.15,1.34,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
cnn-transformer,tuev,weighted_f1,68.54,2.93,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
ffcl,tuev,balanced_accuracy,39.79,1.04,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
ffcl,tuev,cohen_kappa,37.32,1.88,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
ffcl,tuev,weighted_f1,67.83,1.20,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
st-transformer,tuev,balanced_accuracy,39.84,2.28,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
st-transformer,tuev,cohen_kappa,37.65,3.06,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
st-transformer,tuev,weighted_f1,68.23,1.90,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
biot,tuev,balanced_accuracy,52.81,2.25,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
biot,tuev,cohen_kappa,52.73,2.49,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
biot,tuev,weighted_f1,74.92,0.82,5,reported,reproduced_by_source_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-base,tuev,balanced_accuracy,64.09,0.65,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-base,tuev,cohen_kappa,66.37,0.93,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-base,tuev,weighted_f1,83.12,0.52,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-large,tuev,balanced_accuracy,66.81,0.71,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-large,tuev,cohen_kappa,69.34,0.95,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-large,tuev,weighted_f1,84.57,0.29,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-huge,tuev,balanced_accuracy,68.02,0.70,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-huge,tuev,cohen_kappa,70.54,0.85,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
labram-huge,tuev,weighted_f1,85.22,0.37,5,reported,same_paper,LaBraM,https://openreview.net/forum?id=QzTpTRVtrP,Table 2,SEED-待核对,2026-09-06
cbramod,tuab,balanced_accuracy,78.91,0.21,5,reported,same_paper,"CBraMod: A Criss-Cross Brain Foundation Model for EEG Decoding",https://openreview.net/forum?id=NPNUHgHF2w,Table (TUAB),SEED-待核对;论文原表为小数(0.7891),2026-09-06
cbramod,tuab,auc_pr,89.72,0.24,5,reported,same_paper,CBraMod,https://openreview.net/forum?id=NPNUHgHF2w,Table (TUAB),SEED-待核对,2026-09-06
